id,features,labels
2116,https://vo_agam_output.cog.sanger.ac.uk/AZ0242-C.gatk.zarr.zip,arabiensis
1395,https://vo_agam_output.cog.sanger.ac.uk/AG0020-C.gatk.zarr.zip,coluzzii
1496,https://vo_agam_output.cog.sanger.ac.uk/AG0376-C.gatk.zarr.zip,coluzzii
495,https://vo_agam_output.cog.sanger.ac.uk/BK0049-C.gatk.zarr.zip,gambiae
680,https://vo_agam_output.cog.sanger.ac.uk/AN0082-C.gatk.zarr.zip,gambiae
2766,https://vo_agam_output.cog.sanger.ac.uk/AC0282-C.gatk.zarr.zip,gambiae
922,https://vo_agam_output.cog.sanger.ac.uk/AN0430-C.gatk.zarr.zip,gambiae
2092,https://vo_agam_output.cog.sanger.ac.uk/AZ0168-C.gatk.zarr.zip,arabiensis
1001,https://vo_agam_output.cog.sanger.ac.uk/VBS02034-4431STDY6672902.gatk.zarr.zip,gambiae
1538,https://vo_agam_output.cog.sanger.ac.uk/AV0013-C.gatk.zarr.zip,gambiae
505,https://vo_agam_output.cog.sanger.ac.uk/BK0061-C.gatk.zarr.zip,gambiae
2291,https://vo_agam_output.cog.sanger.ac.uk/BL0120-C.gatk.zarr.zip,gambiae
54,https://vo_agam_output.cog.sanger.ac.uk/AR0009-C.gatk.zarr.zip,coluzzii
781,https://vo_agam_output.cog.sanger.ac.uk/AN0188-C.gatk.zarr.zip,gambiae
2098,https://vo_agam_output.cog.sanger.ac.uk/AZ0179-C.gatk.zarr.zip,arabiensis
439,https://vo_agam_output.cog.sanger.ac.uk/BP0075-C.gatk.zarr.zip,gambiae
1163,https://vo_agam_output.cog.sanger.ac.uk/AA0065-C.gatk.zarr.zip,coluzzii
102,https://vo_agam_output.cog.sanger.ac.uk/AB0112-C.gatk.zarr.zip,coluzzii
935,https://vo_agam_output.cog.sanger.ac.uk/AN0448-C.gatk.zarr.zip,gambiae
2141,https://vo_agam_output.cog.sanger.ac.uk/BQ0070-C.gatk.zarr.zip,gambiae
77,https://vo_agam_output.cog.sanger.ac.uk/AR0081-Cx.gatk.zarr.zip,coluzzii
2283,https://vo_agam_output.cog.sanger.ac.uk/BL0223-C.gatk.zarr.zip,arabiensis
1188,https://vo_agam_output.cog.sanger.ac.uk/AA0071-C.gatk.zarr.zip,gambiae
1524,https://vo_agam_output.cog.sanger.ac.uk/AV0037-C.gatk.zarr.zip,gambiae
196,https://vo_agam_output.cog.sanger.ac.uk/AB0216-C.gatk.zarr.zip,coluzzii
1678,https://vo_agam_output.cog.sanger.ac.uk/AV0386-C.gatk.zarr.zip,gambiae
387,https://vo_agam_output.cog.sanger.ac.uk/BP0020-C.gatk.zarr.zip,gambiae
1836,https://vo_agam_output.cog.sanger.ac.uk/AJ0143-C.gatk.zarr.zip,bissau
160,https://vo_agam_output.cog.sanger.ac.uk/AB0179-Cx.gatk.zarr.zip,gambiae
194,https://vo_agam_output.cog.sanger.ac.uk/AB0214-C.gatk.zarr.zip,coluzzii
1529,https://vo_agam_output.cog.sanger.ac.uk/AV0010-C.gatk.zarr.zip,gambiae
908,https://vo_agam_output.cog.sanger.ac.uk/AN0321-C.gatk.zarr.zip,gambiae
2215,https://vo_agam_output.cog.sanger.ac.uk/BL0073-C.gatk.zarr.zip,arabiensis
1930,https://vo_agam_output.cog.sanger.ac.uk/AK0212-C.gatk.zarr.zip,gambiae
1274,https://vo_agam_output.cog.sanger.ac.uk/AG0128-C.gatk.zarr.zip,bissau
811,https://vo_agam_output.cog.sanger.ac.uk/AN0220-C.gatk.zarr.zip,gambiae
569,https://vo_agam_output.cog.sanger.ac.uk/AY0071-C.gatk.zarr.zip,coluzzii
1227,https://vo_agam_output.cog.sanger.ac.uk/AA0109-C.gatk.zarr.zip,coluzzii
1050,https://vo_agam_output.cog.sanger.ac.uk/AP0007-C.gatk.zarr.zip,gambiae
1185,https://vo_agam_output.cog.sanger.ac.uk/AA0129-C.gatk.zarr.zip,gambiae
1584,https://vo_agam_output.cog.sanger.ac.uk/AV0068-C.gatk.zarr.zip,gambiae
1069,https://vo_agam_output.cog.sanger.ac.uk/AP0005-C.gatk.zarr.zip,gambiae
466,https://vo_agam_output.cog.sanger.ac.uk/BK0016-C.gatk.zarr.zip,gambiae
1273,https://vo_agam_output.cog.sanger.ac.uk/AG0123-C.gatk.zarr.zip,bissau
937,https://vo_agam_output.cog.sanger.ac.uk/AN0451-C.gatk.zarr.zip,gambiae
2191,https://vo_agam_output.cog.sanger.ac.uk/BQ0126-C.gatk.zarr.zip,gambiae
1945,https://vo_agam_output.cog.sanger.ac.uk/AK0284-C.gatk.zarr.zip,arabiensis
2069,https://vo_agam_output.cog.sanger.ac.uk/VBS02106-4431STDY6772821.gatk.zarr.zip,gambiae
171,https://vo_agam_output.cog.sanger.ac.uk/AB0190-C.gatk.zarr.zip,coluzzii
678,https://vo_agam_output.cog.sanger.ac.uk/AN0080-C.gatk.zarr.zip,gambiae
2242,https://vo_agam_output.cog.sanger.ac.uk/BL0103-C.gatk.zarr.zip,gambiae
210,https://vo_agam_output.cog.sanger.ac.uk/AB0231-C.gatk.zarr.zip,gambiae
1563,https://vo_agam_output.cog.sanger.ac.uk/AV0029-Cx.gatk.zarr.zip,gambiae
177,https://vo_agam_output.cog.sanger.ac.uk/AB0197-C.gatk.zarr.zip,gambiae
437,https://vo_agam_output.cog.sanger.ac.uk/BP0072-C.gatk.zarr.zip,gambiae
